"208/107 Thorndon Quay, Pipitea, Wellington"
"380 Tinakori Road, Thorndon, Wellington"
"2/14 Leeds Street, Te Aro, Wellington"
"19/70 Hobson Street, Thorndon, Wellington"
"6/14 Leeds Street, Te Aro, Wellington"
"48/70 Hobson Street, Thorndon, Wellington"
"9/14 Leeds Street, Te Aro, Wellington"
"13/14 Leeds Street, Te Aro, Wellington"
"7 Boulcott Street, Te Aro, Wellington"
"132 Tinakori Road, Thorndon, Wellington"
"150 Tinakori Road, Thorndon, Wellington"
"8G/242 Taranaki Street, Mount Cook, Wellington"
"69B Elizabeth Street, Mount Victoria, Wellington"
"206/29 Brooklyn Road, Mount Cook, Wellington"
"120 Austin Street, Mount Victoria, Wellington"
"28 Hania Street, Mount Victoria, Wellington"
"344A Tinakori Road, Thorndon, Wellington"
"15 Tinakori Road, Thorndon, Wellington"
"707/46 Nairn Street, Mount Cook, Wellington"
"709/46 Nairn Street, Mount Cook, Wellington"
"712/46 Nairn Street, Mount Cook, Wellington"
"713/46 Nairn Street, Mount Cook, Wellington"
"120 Brougham Street, Mount Victoria, Wellington"
"714/46 Nairn Street, Mount Cook, Wellington"
"230 Victoria Street, Te Aro, Wellington"
"1/74 Rolleston Street, Mount Cook, Wellington"
"4A/88A Salamanca Road, Kelburn, Wellington"
"36/70 Hobson Street, Thorndon, Wellington"
"4B/88A Salamanca Road, Kelburn, Wellington"
"61/70 Hobson Street, Thorndon, Wellington"
"68/70 Hobson Street, Thorndon, Wellington"
"86/70 Hobson Street, Thorndon, Wellington"
"82 Elizabeth Street, Mount Victoria, Wellington"
"84A Tinakori Road, Thorndon, Wellington"
"9/1 Drummond Street, Mount Cook, Wellington"
"255 Cuba Street, Te Aro, Wellington"
"1/85 Elizabeth Street, Mount Victoria, Wellington"
"202/29 Brooklyn Road, Mount Cook, Wellington"
"177 Vivian Street, Te Aro, Wellington"
"41 Palmer Street, Aro Valley, Wellington"
"3/19 Drummond Street, Mount Cook, Wellington"
"18/35 Torrens Terrace, Mount Cook, Wellington"
"43 Hanson Street, Mount Cook, Wellington"
"8A Hospital Road, Newtown, Wellington"
"101 Webb Street, Mount Cook, Wellington"
"107/107 Thorndon Quay, Pipitea, Wellington"
"157 Aro Street, Aro Valley, Wellington"
"73/40 The Terrace, Wellington Central, Wellington"
"61/40 The Terrace, Wellington Central, Wellington"
"65/40 The Terrace, Wellington Central, Wellington"
"66/40 The Terrace, Wellington Central, Wellington"
"67/40 The Terrace, Wellington Central, Wellington"
"68/40 The Terrace, Wellington Central, Wellington"
"217 Cuba Street, Te Aro, Wellington"
"51 Epuni Street, Aro Valley, Wellington"
"6/34 Hawkestone Street, Thorndon, Wellington"
"1/302 Willis Street, Aro Valley, Wellington"
"2/302 Willis Street, Aro Valley, Wellington"
"30 Tory Street, Te Aro, Wellington"
"20 Holland Street, Te Aro, Wellington"
"1/318 Tinakori Road, Thorndon, Wellington"
"G14/107 Thorndon Quay, Pipitea, Wellington"
"2/318 Tinakori Road, Thorndon, Wellington"
"306/107 Thorndon Quay, Pipitea, Wellington"
"112 Tasman Street, Mount Cook, Wellington"
"2-6 Glenmore Street, Thorndon, Wellington"
"3/318 Tinakori Road, Thorndon, Wellington"
"118/107 Thorndon Quay, Pipitea, Wellington"
"4/318 Tinakori Road, Thorndon, Wellington"
"263 Tinakori Road, Thorndon, Wellington"
"169 Taranaki Street, Te Aro, Wellington"
"5-13 Patanga Crescent, Thorndon, Wellington"
"103 Webb Street, Mount Cook, Wellington"
"346A The Terrace, Te Aro, Wellington"
"203/33 Frederick Street, Te Aro, Wellington"
"91 Aro Street, Aro Valley, Wellington"
"32 Wright Street, Mount Cook, Wellington"
"207/33 Frederick Street, Te Aro, Wellington"
"58 Rolleston Street, Mount Cook, Wellington"
"208/33 Frederick Street, Te Aro, Wellington"
"82 Webb Street, Te Aro, Wellington"
"63 Rugby Street, Mount Cook, Wellington"
"8F Malcolm Lane, Thorndon, Wellington"
"114 Adelaide Road, Mount Cook, Wellington"
"4B/242 Taranaki Street, Mount Cook, Wellington"
"8 Tanera Crescent, Brooklyn, Wellington"
"001/40 The Terrace, Wellington Central, Wellington"
"002/40 The Terrace, Wellington Central, Wellington"
"2 Fallowfield Avenue, Mount Victoria, Wellington"
"8/233 Cuba Street, Te Aro, Wellington"
"9/233 Cuba Street, Te Aro, Wellington"
"10/233 Cuba Street, Te Aro, Wellington"
"11/233 Cuba Street, Te Aro, Wellington"
"12/233 Cuba Street, Te Aro, Wellington"
"13/233 Cuba Street, Te Aro, Wellington"
"14/233 Cuba Street, Te Aro, Wellington"
"15/233 Cuba Street, Te Aro, Wellington"
"317A The Terrace, Te Aro, Wellington"
"114 Tinakori Road, Thorndon, Wellington"
"342 The Terrace, Te Aro, Wellington"
"16/233 Cuba Street, Te Aro, Wellington"
"17/233 Cuba Street, Te Aro, Wellington"
"86 Hutt Road, Pipitea, Wellington"
"6-10 Hawkestone Street, Thorndon, Wellington"
"18/233 Cuba Street, Te Aro, Wellington"
